,School,Enrollment,Identified,Breakfast,Lunch,group
0,1019,268.0,114.0,13744.0403226,32119.4153166,1.0
1,1025,188.0,121.0,2660.63346774,8954.46719989,1.0
2,1034,348.0,262.0,18359.9104839,39773.741129,1.0
3,1060,679.0,293.0,7340.88508065,19996.6546345,1.0
4,1061,291.0,99.0,4320.55524194,25602.8632156,1.0
5,1063,201.0,119.0,16247.9189516,27552.9272322,3.0
6,1064,246.0,169.0,10049.1048387,28148.6903226,1.0
7,1080,218.0,134.0,9791.57903226,33640.1334932,3.0
8,1110,382.0,143.0,9161.76048387,40234.0929047,1.0
9,1134,356.0,270.0,29245.9741935,53232.607007,3.0
10,1142,358.0,267.0,32876.5282258,54322.6899575,1.0
11,1163,301.0,79.0,12683.1459677,25787.5290511,1.0
12,1164,330.0,107.0,4057.43104839,24637.9767641,1.0
13,1184,668.0,238.0,17622.3229839,80283.1863876,1.0
14,1202,206.0,107.0,12677.5475806,32203.6887385,3.0
15,1292,133.0,92.0,174.949596774,5050.58380856,1.0
16,1330,308.0,161.5,15639.0943548,22126.2254032,1.0
17,1488,314.0,41.0,4681.65120968,19678.7379905,1.0
18,1518,384.0,237.0,9125.37096774,27248.0220443,1.0
19,1529,332.0,161.0,3240.06653226,4885.81384762,1.0
20,1545,398.0,180.0,19173.0762097,38021.8458525,1.0
21,1586,546.0,136.0,9710.40241935,23616.9359274,1.0
22,1605,298.0,195.0,1142.07096774,6017.26290244,1.0
23,1650,1738.0,184.0,24859.6379032,103697.038212,1.0
24,1664,0.0,0.0,3732.72459677,3732.72459677,
25,1843,64.0,39.0,3287.65282258,8763.50280868,3.0
26,1866,308.0,161.5,16261.9149194,43137.8313358,2.0
27,1873,260.0,156.0,18274.5350806,38647.0657258,3.0
28,1884,0.0,0.0,967.121370968,1773.2891129,
29,1907,245.0,42.0,10418.5983871,29640.1498202,1.0
30,2002,605.0,399.0,26257.8350806,93180.0796875,3.0
31,2003,768.0,81.0,16992.5044355,61616.6817834,1.0
32,2006,680.0,20.0,9981.92419355,51467.4698237,1.0
33,2011,912.0,162.0,17879.8487903,79185.5892227,1.0
34,2033,629.0,223.0,22989.7766129,59831.0597503,1.0
35,2040,657.0,29.0,9245.73629032,48941.7865946,1.0
36,2041,699.0,10.0,5454.22862903,49505.2308065,1.0
37,2047,174.0,106.0,2885.96854839,9713.79206779,1.0
38,2059,580.0,19.0,5063.74112903,35669.1486679,1.0
39,2089,414.0,9.0,2363.91895161,19474.0478327,1.0
40,2116,587.0,133.0,9935.7375,74991.5586959,1.0
41,2126,785.0,464.0,36756.2104839,95777.3878808,1.0
42,2139,373.0,216.0,6600.4983871,14349.0103295,1.0
43,2147,191.0,100.0,22786.8350806,27955.5577291,3.0
44,2151,543.0,170.0,20285.7556452,67397.5826613,1.0
45,2158,761.0,27.0,12748.9270161,45825.9769894,1.0
46,2183,555.0,16.0,2376.51532258,38085.7224496,1.0
47,2190,596.0,22.0,5624.97943548,48299.5913769,1.0
48,2198,475.0,96.0,14201.7084677,48650.9157269,1.0
49,2217,601.0,95.0,9037.19637097,55975.7553954,1.0
