School,Enrollment,Identified,Breakfast,Lunch,group,threshold
1019,268.0,114.0,13744.0403226,32119.4153166,2.0,0.640054523863
1025,188.0,121.0,2660.63346774,8954.46719989,2.0,0.640054523863
1034,348.0,262.0,18359.9104839,39773.741129,0.0,0.999044708289
1060,679.0,293.0,7340.88508065,19996.6546345,2.0,0.640054523863
1061,291.0,99.0,4320.55524194,25602.8632156,2.0,0.640054523863
1063,201.0,119.0,16247.9189516,27552.9272322,0.0,0.999044708289
1064,246.0,169.0,10049.1048387,28148.6903226,1.0,0.96551615053
1080,218.0,134.0,9791.57903226,33640.1334932,0.0,0.999044708289
1110,382.0,143.0,9161.76048387,40234.0929047,2.0,0.640054523863
1134,356.0,270.0,29245.9741935,53232.607007,0.0,0.999044708289
1142,358.0,267.0,32876.5282258,54322.6899575,0.0,0.999044708289
1163,301.0,79.0,12683.1459677,25787.5290511,2.0,0.640054523863
1164,330.0,107.0,4057.43104839,24637.9767641,2.0,0.640054523863
1184,668.0,238.0,17622.3229839,80283.1863876,2.0,0.640054523863
1202,206.0,107.0,12677.5475806,32203.6887385,2.0,0.640054523863
1292,133.0,92.0,174.949596774,5050.58380856,2.0,0.640054523863
1330,308.0,161.5,15639.0943548,22126.2254032,2.0,0.640054523863
1488,314.0,41.0,4681.65120968,19678.7379905,2.0,0.640054523863
1518,384.0,237.0,9125.37096774,27248.0220443,2.0,0.640054523863
1529,332.0,161.0,3240.06653226,4885.81384762,2.0,0.640054523863
1545,398.0,180.0,19173.0762097,38021.8458525,0.0,0.999044708289
1586,546.0,136.0,9710.40241935,23616.9359274,2.0,0.640054523863
1605,298.0,195.0,1142.07096774,6017.26290244,2.0,0.640054523863
1650,1738.0,184.0,24859.6379032,103697.038212,2.0,0.640054523863
1664,0.0,0.0,3732.72459677,3732.72459677,0.0,0.999044708289
1843,64.0,39.0,3287.65282258,8763.50280868,0.0,0.999044708289
1866,308.0,161.5,16261.9149194,43137.8313358,0.0,0.999044708289
1873,260.0,156.0,18274.5350806,38647.0657258,0.0,0.999044708289
